"County","2021","2022","2023","2024","2025,"2026","2027","2028","2029","2030"
ALAMEDA,3005.038423633203,2994.679127298761,2982.5726772919297,2968.7190736127086,2953.1183162615635,2935.77040523896,2916.675340543501,2895.833122176584,2873.243750137277,2848.907224426046,
ALPINE,11.314898568622084,11.419658317174253,11.518232393013022,11.610620796131116,11.696823526532171,11.776840584216188,11.850671969183168,11.918317681433109,11.979777720966013,12.035052087781878,
AMADOR,140.3575729697768,139.7777788573003,139.0827853565861,138.27259246775066,137.34720019073575,136.30660852554138,135.15081747216755,133.87982703064336,132.4936372009106,130.9922479830566,
BUTTE,720.2227669879794,716.9189000420738,712.996064561652,708.4542605462484,703.293487995863,697.5137469109613,691.1150372913107,684.0973591369111,676.4607124475297,668.2050972233992,
CALAVERAS,208.60831824236084,208.7786678027478,208.80693424865603,208.69311758020194,208.4372177971527,208.03923489968292,207.4991688876762,206.81701976124896,205.99278752040118,205.02647216501646,
COLUSA,69.57803399459954,70.03160235729956,70.47029731165821,70.89411885766822,71.30306699533685,71.69714172465683,72.07634304563544,72.4406709582654,72.79012546255035,73.12470655849029,
CONTRA COSTA,2927.1357840602286,2934.1917146751657,2939.8810942405835,2944.2039227569476,2947.160200224258,2948.749926642049,2948.973102010321,2947.829726329539,2945.3197995997034,2941.4433218203485,
DEL NORTE,111.99531779036624,109.71740329952445,107.27047673042398,104.65453808300663,101.86958735744702,98.91562455357052,95.79264967143536,92.50066271104151,89.039663672389,85.4096525554778,
EL DORADO,767.3528406687547,764.3986516580917,760.7067703355569,756.2771967009176,751.1099307544064,745.2049724962562,738.5623219257686,731.1819790436421,723.063943849178,714.2082163428422,
FRESNO,2936.206727608922,2967.201186019578,2997.7169000658905,3027.753869747743,3057.312095065252,3086.391576018068,3114.9923126067733,3143.114304830786,3170.7575526906876,3197.9220561861293,
GLENN,98.77788377281968,99.47873505401412,100.1784754696505,100.87710501972879,101.574623704249,102.2710315232107,102.96632847661476,103.66051456446075,104.35358978674822,105.04555414347806,
HUMBOLDT,400.2233010579366,396.8401863735635,392.89532691962086,388.38872269680724,383.3203737051226,377.69027994410135,371.4984414137434,364.7448581145145,357.42953004618175,349.5524572082795,
IMPERIAL,574.1534081813879,568.5156002547592,561.5580031555146,553.2806168845855,543.6834414410405,532.7664768253453,520.5297230379656,506.97318007797,492.09684794582427,475.90072664106265,
INYO,62.05753569825902,62.09794514492387,62.067607188859256,61.96652183012338,61.79468906871625,61.552108904579654,61.2387813377718,60.854706368234474,60.39988399599679,59.87431422111695,
