,2013,2014,2015,2016,2017,2018,2019,2020,,2022
ALAMEDA,4,0,5,1,5,11,9,,1,5
ALPINE,0,0,1,1,0,0,0,,2,0.285714286
AMADOR,1,1,2,5,1,2,1,,3,1.857142857
BUTTE,7,3,6,10,18,13,9,,4,9.428571429
CALAVERAS,2,2,1,7,5,3,2,,5,3.142857143
COLUSA,1,0,0,0,1,3,1,,6,0.857142857
CONTRA COSTA,3,1,1,1,3,9,9,,7,3.857142857
DEL NORTE,0,0,2,1,3,0,0,,8,0.857142857
EL DORADO,4,5,3,5,9,5,6,,9,5.285714286
FRESNO,6,3,4,12,24,5,3,,10,8.142857143
GLENN,2,0,0,0,1,4,1,,11,1.142857143
HUMBOLDT,2,4,5,3,6,4,1,,12,3.571428571
IMPERIAL,0,0,0,0,0,0,0,,13,0
INYO,1,2,1,2,0,4,2,,14,1.714285714
KERN,4,4,3,4,24,9,6,,15,7.714285714
KINGS,0,0,0,0,3,1,1,,16,0.714285714
LAKE,6,3,6,7,8,10,5,,17,6.428571429
LASSEN,1,0,5,2,8,10,10,,18,5.142857143
LOS ANGELES,5,3,4,7,13,8,6,,19,6.571428571
MADERA,5,4,4,4,9,9,1,,20,5.142857143
MARIN,0,0,0,0,2,3,1,,21,0.857142857
MARIPOSA,1,9,3,0,12,5,5,,22,5
MENDOCINO,4,3,4,2,4,7,4,,23,4
MERCED,1,1,3,2,2,6,1,,24,2.285714286
MODOC,3,4,4,2,10,4,4,,25,4.428571429
MONO,0,0,3,3,2,1,1,,26,1.428571429
MONTEREY,3,3,2,7,14,9,7,,27,6.428571429
NAPA,3,3,4,1,6,5,3,,28,3.571428571
NEVADA,1,3,2,2,7,1,2,,29,2.571428571
ORANGE,1,1,1,2,2,3,0,,30,1.428571429
PLACER,2,3,2,3,0,2,5,,31,2.428571429
PLUMAS,1,0,1,1,5,2,1,,32,1.571428571
RIVERSIDE,19,6,7,4,52,25,33,,33,20.85714286
SACRAMENTO,1,0,1,3,3,1,2,,34,1.571428571
SAN BENITO,1,0,2,4,3,8,2,,35,2.857142857
SAN BERNARDINO,10,2,6,4,0,7,7,,36,5.142857143
SAN DIEGO,8,13,7,7,20,17,17,,37,12.71428571
SAN FRANCISCO,0,0,0,0,0,0,0,,38,0
SAN JOAQUIN,1,0,1,1,0,2,3,,39,1.142857143
SAN LUIS OBISPO,6,1,3,5,25,14,10,,40,9.142857143
SAN MATEO,1,0,0,0,1,0,1,,41,0.428571429
SANTA BARBARA,2,1,3,4,7,8,4,,42,4.142857143
SANTA CLARA,2,2,2,5,8,9,11,,43,5.571428571
SANTA CRUZ,0,0,0,0,1,2,1,,44,0.571428571
SHASTA,6,9,7,6,11,16,9,,45,9.142857143
SIERRA,0,0,0,0,2,0,0,,46,0.285714286
SISKIYOU,3,7,5,7,16,10,9,,47,8.142857143
SOLANO,2,1,2,1,4,4,5,,48,2.714285714
SONOMA,5,0,0,1,10,1,1,,49,2.571428571
STANISLAUS,1,1,1,3,6,1,0,,50,1.857142857
SUTTER,0,0,0,1,0,1,1,,51,0.428571429
TEHAMA,5,2,3,7,11,14,9,,52,7.285714286
TRINITY,0,2,7,0,6,4,2,,53,3
TULARE,2,0,3,4,13,6,7,,54,5
TUOLUMNE,2,3,3,3,5,3,2,,55,3
VENTURA,4,1,5,6,3,5,6,,56,4.285714286
YOLO,1,1,0,3,1,3,3,,57,1.714285714
YUBA,1,0,2,1,6,0,4,,58,2
